year,city,avg_temp
1879,Amsterdam,7.36
1879,Global,8.17
1880,Amsterdam,9.29
1880,Global,8.12
1881,Amsterdam,8.27
1881,Global,8.27
1882,Amsterdam,9.20
1882,Global,8.13
1883,Amsterdam,9.00
1883,Global,7.98
1884,Amsterdam,9.74
1884,Global,7.77
1885,Amsterdam,8.55
1885,Global,7.92
1886,Amsterdam,8.80
1886,Global,7.95
1887,Amsterdam,7.99
1887,Global,7.91
1888,Amsterdam,7.84
1888,Global,8.09
1889,Amsterdam,8.54
1889,Global,8.32
1890,Amsterdam,8.26
1890,Global,7.97
1891,Amsterdam,8.40
1891,Global,8.02
1892,Amsterdam,8.34
1892,Global,8.07
1893,Amsterdam,9.30
1893,Global,8.06
1894,Amsterdam,9.17
1894,Global,8.16
1895,Amsterdam,8.38
1895,Global,8.15
1896,Amsterdam,8.80
1896,Global,8.21
1897,Amsterdam,9.00
1897,Global,8.29
1898,Amsterdam,9.57
1898,Global,8.18
1899,Amsterdam,9.32
1899,Global,8.40
1900,Amsterdam,9.35
1900,Global,8.50
1901,Amsterdam,8.80
1901,Global,8.54
1902,Amsterdam,8.32
1902,Global,8.30
1903,Amsterdam,9.29
1903,Global,8.22
1904,Amsterdam,9.12
1904,Global,8.09
1905,Amsterdam,8.88
1905,Global,8.23
1906,Amsterdam,9.30
1906,Global,8.38
1907,Amsterdam,8.73
1907,Global,7.95
1908,Amsterdam,8.60
1908,Global,8.19
1909,Amsterdam,8.30
1909,Global,8.18
1910,Amsterdam,9.44
1910,Global,8.22
1911,Amsterdam,9.93
1911,Global,8.18
1912,Amsterdam,9.21
1912,Global,8.17
1913,Amsterdam,9.64
1913,Global,8.30
1914,Amsterdam,9.69
1914,Global,8.59
1915,Amsterdam,8.80
1915,Global,8.59
1916,Amsterdam,9.20
1916,Global,8.23
1917,Amsterdam,8.32
1917,Global,8.02
1918,Amsterdam,9.38
1918,Global,8.13
1919,Amsterdam,8.10
1919,Global,8.38
1920,Amsterdam,9.50
1920,Global,8.36
1921,Amsterdam,10.05
1921,Global,8.57
1922,Amsterdam,8.26
1922,Global,8.41
1923,Amsterdam,8.78
1923,Global,8.42
1924,Amsterdam,8.63
1924,Global,8.51
1925,Amsterdam,9.18
1925,Global,8.53
1926,Amsterdam,9.63
1926,Global,8.73
1927,Amsterdam,8.99
1927,Global,8.52
1928,Amsterdam,9.36
1928,Global,8.63
1929,Amsterdam,8.40
1929,Global,8.24
1930,Amsterdam,9.76
1930,Global,8.63
1931,Amsterdam,8.83
1931,Global,8.72
1932,Amsterdam,9.44
1932,Global,8.71
1933,Amsterdam,9.10
1933,Global,8.34
1934,Amsterdam,10.22
1934,Global,8.63
1935,Amsterdam,9.65
1935,Global,8.52
1936,Amsterdam,9.44
1936,Global,8.55
1937,Amsterdam,9.57
1937,Global,8.70
1938,Amsterdam,9.79
1938,Global,8.86
1939,Amsterdam,9.61
1939,Global,8.76
1940,Amsterdam,8.05
1940,Global,8.76
1941,Amsterdam,8.54
1941,Global,8.77
1942,Amsterdam,8.31
1942,Global,8.73
1943,Amsterdam,9.83
1943,Global,8.76
1944,Amsterdam,9.38
1944,Global,8.85
1945,Amsterdam,10.03
1945,Global,8.58
1946,Amsterdam,9.17
1946,Global,8.68
1947,Amsterdam,9.41
1947,Global,8.80
1948,Amsterdam,9.96
1948,Global,8.75
1949,Amsterdam,10.12
1949,Global,8.59
1950,Amsterdam,9.48
1950,Global,8.37
1951,Amsterdam,9.57
1951,Global,8.63
1952,Amsterdam,8.94
1952,Global,8.64
1953,Amsterdam,9.82
1953,Global,8.87
1954,Amsterdam,8.98
1954,Global,8.56
1955,Amsterdam,8.84
1955,Global,8.63
1956,Amsterdam,8.15
1956,Global,8.28
1957,Amsterdam,9.89
1957,Global,8.73
1958,Amsterdam,9.40
1958,Global,8.77
1959,Amsterdam,10.17
1959,Global,8.73
1960,Amsterdam,9.69
1960,Global,8.58
1961,Amsterdam,9.94
1961,Global,8.80
1962,Amsterdam,8.12
1962,Global,8.75
1963,Amsterdam,7.81
1963,Global,8.86
1964,Amsterdam,9.18
1964,Global,8.41
1965,Amsterdam,8.74
1965,Global,8.53
1966,Amsterdam,9.47
1966,Global,8.60
1967,Amsterdam,9.92
1967,Global,8.70
1968,Amsterdam,9.14
1968,Global,8.52
1969,Amsterdam,9.18
1969,Global,8.60
1970,Amsterdam,9.07
1970,Global,8.70
1971,Amsterdam,9.51
1971,Global,8.60
1972,Amsterdam,8.96
1972,Global,8.50
1973,Amsterdam,9.44
1973,Global,8.95
1974,Amsterdam,9.73
1974,Global,8.47
1975,Amsterdam,9.87
1975,Global,8.74
1976,Amsterdam,9.82
1976,Global,8.35
1977,Amsterdam,9.66
1977,Global,8.85
1978,Amsterdam,8.95
1978,Global,8.69
1979,Amsterdam,8.45
1979,Global,8.73
1980,Amsterdam,9.12
1980,Global,8.98
1981,Amsterdam,9.26
1981,Global,9.17
1982,Amsterdam,9.98
1982,Global,8.64
1983,Amsterdam,9.95
1983,Global,9.03
1984,Amsterdam,9.34
1984,Global,8.69
1985,Amsterdam,8.42
1985,Global,8.66
1986,Amsterdam,8.79
1986,Global,8.83
1987,Amsterdam,8.66
1987,Global,8.99
1988,Amsterdam,10.21
1988,Global,9.20
1989,Amsterdam,10.57
1989,Global,8.92
1990,Amsterdam,10.63
1990,Global,9.23
1991,Amsterdam,9.32
1991,Global,9.18
1992,Amsterdam,10.39
1992,Global,8.84
1993,Amsterdam,9.47
1993,Global,8.87
1994,Amsterdam,10.45
1994,Global,9.04
1995,Amsterdam,10.25
1995,Global,9.35
1996,Amsterdam,8.32
1996,Global,9.04
1997,Amsterdam,10.03
1997,Global,9.20
1998,Amsterdam,10.18
1998,Global,9.52
1999,Amsterdam,10.74
1999,Global,9.29
2000,Amsterdam,10.75
2000,Global,9.20
2001,Amsterdam,10.24
2001,Global,9.41
2002,Amsterdam,10.64
2002,Global,9.57
2003,Amsterdam,10.28
2003,Global,9.53
2004,Amsterdam,10.27
2004,Global,9.32
2005,Amsterdam,10.48
2005,Global,9.70
2006,Amsterdam,10.97
2006,Global,9.53
2007,Amsterdam,11.04
2007,Global,9.73
2008,Amsterdam,10.42
2008,Global,9.43
2009,Amsterdam,10.33
2009,Global,9.51
2010,Amsterdam,8.84
2010,Global,9.70
2011,Amsterdam,10.73
2011,Global,9.52
2012,Amsterdam,10.08
2012,Global,9.51
2013,Amsterdam,9.54
2013,Global,9.61
2014,Global,9.57
2015,Global,9.83
